seq,stamp,id,own_id,x,y,z,distance
0,1758722391.335713042,31,170,515.681,-388.195,2482.46,2565,
0,1758722391.355687801,31,170,513.872,-386.833,2473.75,2556,
0,1758722391.375697635,31,170,513.872,-386.833,2473.75,2556,
0,1758722391.395828254,31,170,517.692,-389.708,2492.14,2575,
0,1758722391.415900163,31,170,521.311,-392.433,2509.56,2593,
0,1758722391.435870817,31,170,511.057,-384.714,2460.2,2542,
0,1758722391.456251259,31,170,515.681,-388.195,2482.46,2565,
0,1758722391.475982659,31,170,518.496,-390.314,2496.01,2579,
0,1758722391.495852665,31,170,513.872,-386.833,2473.75,2556,
0,1758722391.515883261,31,170,519.501,-391.07,2500.85,2584,
0,1758722391.535770565,31,170,513.872,-386.833,2473.75,2556,
0,1758722391.555865123,31,170,516.687,-388.952,2487.3,2570,
0,1758722391.575774514,31,170,512.867,-386.076,2468.91,2551,
0,1758722391.595778561,31,170,518.496,-390.314,2496.01,2579,
0,1758722391.615765931,31,170,512.867,-386.076,2468.91,2551,
0,1758722391.635887882,31,170,512.867,-386.076,2468.91,2551,
0,1758722391.655879330,31,170,518.496,-390.314,2496.01,2579,
0,1758722391.675792505,31,170,512.867,-386.076,2468.91,2551,
0,1758722391.695810580,31,170,515.681,-388.195,2482.46,2565,
0,1758722391.715835734,31,170,510.052,-383.957,2455.36,2537,
0,1758722391.735886483,31,170,518.496,-390.314,2496.01,2579,
0,1758722391.755860944,31,170,512.867,-386.076,2468.91,2551,
0,1758722391.775817715,31,170,516.687,-388.952,2487.3,2570,
0,1758722391.795822094,31,170,516.687,-388.952,2487.3,2570,
0,1758722391.815854198,31,170,517.692,-389.708,2492.14,2575,
0,1758722391.835831963,31,170,513.872,-386.833,2473.75,2556,
0,1758722391.855856972,31,170,517.692,-389.708,2492.14,2575,
0,1758722391.875801769,31,170,518.496,-390.314,2496.01,2579,
0,1758722391.895780308,31,170,518.496,-390.314,2496.01,2579,
0,1758722391.915817563,31,170,515.681,-388.195,2482.46,2565,
0,1758722391.935873660,31,170,512.867,-386.076,2468.91,2551,
0,1758722391.955761470,31,170,514.676,-387.438,2477.62,2560,
0,1758722391.975830161,31,170,515.681,-388.195,2482.46,2565,
0,1758722391.995858257,31,170,516.687,-388.952,2487.3,2570,
0,1758722392.15812574,31,170,516.687,-388.952,2487.3,2570,
0,1758722392.35825733,31,170,515.681,-388.195,2482.46,2565,
0,1758722392.55871989,31,170,512.867,-386.076,2468.91,2551,
0,1758722392.75810089,31,170,511.862,-385.319,2464.07,2546,
0,1758722392.95824573,31,170,513.872,-386.833,2473.75,2556,
0,1758722392.115849141,31,170,513.872,-386.833,2473.75,2556,
0,1758722392.135760586,31,170,513.872,-386.833,2473.75,2556,
